# Server version 0.08 running on 142.157.219.177:8123
# Game ID: 187
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 09:48:38 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 12
PIT 1 22
PIT 0 10
PIT 1 21
PIT 0 13
PIT 1 20
PIT 0 21
PIT 1 19
PIT 0 4
PIT 1 25
PIT 0 0
PIT 1 8
PIT 0 6
PIT 1 26
PIT 0 15
PIT 1 23
PIT 0 3
PIT 1 22
PIT 0 4
PIT 1 24
PIT 0 1
PIT 1 25
PIT 0 7
PIT 1 20
PIT 0 9
PIT 1 18
PIT 0 12
PIT 1 23
PIT 0 13
PIT 1 31
PIT 0 5
PIT 1 19
PIT 0 14
PIT 1 25
PIT 0 15
PIT 1 22
PIT 0 17
PIT 1 15
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 09:48:41 EDT 2016
